mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_log_reg__C,params,mean_test_score,std_test_score,rank_test_score,mean_train_score,std_train_score
126.4472915172577,98.54892896066761,0.3593444347381592,0.10097125513675395,0.01,{'log_reg__C': 0.01},0.9801924973642147,0.00920969965710963,4,0.9995874160841766,0.0005053101469242953
169.38633618354797,105.23778003258867,0.9042408466339111,0.6261042727274782,0.0206913808111479,{'log_reg__C': 0.0206913808111479},0.9793660510832227,0.008264557981763678,6,1.0,0.0
67.26082272529602,86.3890602729487,0.5868772506713867,0.39215034152967165,0.04281332398719394,{'log_reg__C': 0.04281332398719394},0.9793660510832227,0.008264557981763678,6,1.0,0.0
127.76804299354554,102.4400677886441,1.0519244194030761,0.513402393567025,0.08858667904100823,{'log_reg__C': 0.08858667904100823},0.9801924973642144,0.007106306826691084,5,1.0,0.0
187.73921909332276,118.36515709137947,0.7241514205932618,0.3152049233350638,0.18329807108324356,{'log_reg__C': 0.18329807108324356},0.9810189436452064,0.006177409039325422,1,1.0,0.0
229.49446220397948,110.94444276971012,0.6043620109558105,0.3543758210908984,0.37926901907322497,{'log_reg__C': 0.37926901907322497},0.9810189436452064,0.006177409039325422,1,1.0,0.0
214.87796835899354,129.15951426605068,0.7833168506622314,0.22578371552656867,0.7847599703514611,{'log_reg__C': 0.7847599703514611},0.9810189436452064,0.006177409039325422,1,1.0,0.0
192.20409832000732,149.00527156907773,0.7921690940856934,0.26537061762894665,1.623776739188721,{'log_reg__C': 1.623776739188721},0.9793660510832227,0.006914659425668161,6,1.0,0.0
266.9977606773376,172.75561383248177,1.128973913192749,0.7549286238997248,3.359818286283781,{'log_reg__C': 3.359818286283781},0.9793660510832227,0.006914659425668161,6,1.0,0.0
272.7562912464142,149.6782183360422,0.9237491607666015,0.39145396958351175,6.951927961775605,{'log_reg__C': 6.951927961775605},0.978543005815733,0.005486788792902304,10,1.0,0.0
238.85166187286376,177.3349836278766,0.7865689754486084,0.40478173127412187,14.38449888287663,{'log_reg__C': 14.38449888287663},0.9777165595347412,0.005614398610531209,11,1.0,0.0
227.7416404247284,177.18257241057074,0.6178205490112305,0.2947254218776271,29.76351441631316,{'log_reg__C': 29.76351441631316},0.9768935142672517,0.006180189002844207,12,1.0,0.0
229.1993812084198,131.11099892747305,0.8781392574310303,0.39931315960820174,61.584821106602604,{'log_reg__C': 61.584821106602604},0.9744141754242766,0.008019843683786488,13,1.0,0.0
154.03216018676758,125.05985824526013,0.6894997596740723,0.3183125123214717,127.42749857031322,{'log_reg__C': 127.42749857031322},0.9711151923273136,0.0045578606028233385,14,1.0,0.0
346.19644503593446,53.15107396841641,0.9284661769866943,0.21559805256059958,263.6650898730355,{'log_reg__C': 263.6650898730355},0.9678128082168487,0.004866865769720496,15,1.0,0.0
231.07695593833924,169.79339688433612,0.6053246974945068,0.32775407259846967,545.5594781168514,{'log_reg__C': 545.5594781168514},0.9661633166683672,0.0048680658358578556,16,1.0,0.0
228.11851444244385,131.02529485992196,0.5764061450958252,0.1653232363565708,1128.8378916846884,{'log_reg__C': 1128.8378916846884},0.9653368703873755,0.00565446085719205,17,1.0,0.0
328.9606369972229,13.22087637264082,0.7318339824676514,0.13951821007642856,2335.7214690901214,{'log_reg__C': 2335.7214690901214},0.9653368703873755,0.00565446085719205,17,1.0,0.0
255.19417023658752,76.98760809792154,0.6333062171936035,0.35090162277066766,4832.930238571752,{'log_reg__C': 4832.930238571752},0.9653368703873755,0.00565446085719205,17,1.0,0.0
219.30489854812623,49.536026106680616,0.2525432586669922,0.1292900761940639,10000.0,{'log_reg__C': 10000.0},0.9653368703873755,0.00565446085719205,17,1.0,0.0
